GATEWAY_ID,ACTIVITY,PERCENTAGE
node-734ecfcb-d13b-4c25-9807-9ae117d5ef18,A44,100
node-e5bfde3a-3aef-498d-a381-6ee2509711a3,A12,100
node-14e220f0-529a-424f-af13-a6c0b32db139,A4,80
node-14e220f0-529a-424f-af13-a6c0b32db139,A5,20
node-eb871e0f-5abc-489f-9653-750e42efd5e1,A54,100
node-c162dafd-c747-4ae7-abe8-e373dc5752bc,A111,61
node-c162dafd-c747-4ae7-abe8-e373dc5752bc,A101,21
node-c162dafd-c747-4ae7-abe8-e373dc5752bc,A2,13
node-c162dafd-c747-4ae7-abe8-e373dc5752bc,A110,5
node-026cee27-069c-4265-adc5-5753f5a54b55,A18,12
node-026cee27-069c-4265-adc5-5753f5a54b55,A61,75
node-026cee27-069c-4265-adc5-5753f5a54b55,A15,13
node-49878543-6e0c-4225-83a2-17edb39eaea3,A57,100
node-119120c9-596c-4762-ba1d-840a56caeef7,A37,3
node-119120c9-596c-4762-ba1d-840a56caeef7,A39,2
node-119120c9-596c-4762-ba1d-840a56caeef7,A31,6
node-119120c9-596c-4762-ba1d-840a56caeef7,A32,11
node-119120c9-596c-4762-ba1d-840a56caeef7,A38,3
node-119120c9-596c-4762-ba1d-840a56caeef7,A24,1
node-119120c9-596c-4762-ba1d-840a56caeef7,A29,8
node-119120c9-596c-4762-ba1d-840a56caeef7,A23,1
node-119120c9-596c-4762-ba1d-840a56caeef7,A26,0
node-119120c9-596c-4762-ba1d-840a56caeef7,A40,0
node-119120c9-596c-4762-ba1d-840a56caeef7,A41,6
node-119120c9-596c-4762-ba1d-840a56caeef7,A33,25
node-119120c9-596c-4762-ba1d-840a56caeef7,A28,10
node-119120c9-596c-4762-ba1d-840a56caeef7,A35,2
node-119120c9-596c-4762-ba1d-840a56caeef7,A25,0
node-119120c9-596c-4762-ba1d-840a56caeef7,A36,18
node-119120c9-596c-4762-ba1d-840a56caeef7,A27,1
node-119120c9-596c-4762-ba1d-840a56caeef7,A30,1
node-119120c9-596c-4762-ba1d-840a56caeef7,A42,2
node-c8988d3d-c083-4867-b911-73611d05ffb5,A58,100
node-5b918f90-979f-4e93-ba7e-98aef402473f,A103,42
node-5b918f90-979f-4e93-ba7e-98aef402473f,A114,58
node-62a25c99-c45f-4484-97c1-fae19edd6993,A55,100
node-7a84fcc5-0519-4401-ac38-7fd427eeb9a8,A9,60
node-7a84fcc5-0519-4401-ac38-7fd427eeb9a8,A22,19
node-7a84fcc5-0519-4401-ac38-7fd427eeb9a8,A3,1
node-7a84fcc5-0519-4401-ac38-7fd427eeb9a8,A17,19
node-7a84fcc5-0519-4401-ac38-7fd427eeb9a8,A14,1
node-28758d5c-4789-4bb5-b6a1-7c18924fb808,A98,100
